196697 296194
1 18835 8
1 16173 1
1 23811 1
1 20461 3
1 3535 3
1 2 1
1 30000 1
1 14646 2
1 7196 1
1 85393 1
1 1331 1
1 10337 1
1 20012 1
1 1809 3
1 11462 1
1 110321 1
1 10832 1
1 29912 3
1 8331 1
1 8031 2
1 8251 4
1 18343 1
1 23553 1
1 21772 3
1 109805 1
1 55478 2
1 25676 2
1 5970 4
1 111324 8
1 2032 1
1 3168 6
1 1070 1
1 37506 3
1 6034 3
1 130035 1
1 47521 1
1 111041 2
1 72432 1
1 10323 1
1 1644 1
1 8106 4
1 8975 2
1 167 1
1 25416 1
1 16469 1
1 64225 2
1 25886 2
1 8144 2
1 68454 2
1 57435 1
1 11513 1
1 18781 3
1 53733 1
1 1659 2
1 79008 8
1 71748 1
1 10566 1
2 138456 1
2 191204 1
2 3 1
2 4 1
3 176902 1
3 3203 1
3 59148 1
3 2119 1
3 6206 3
3 55889 1
3 247 2
3 1456 1
3 9405 1
3 148605 1
3 74 1
3 42885 1
3 3584 3
3 59827 1
3 1445 2
3 126006 1
3 22546 1
3 1477 3
3 1787 1
3 44460 1
3 6313 1
3 27784 1
3 142278 1
3 59335 1
3 20149 2
3 5985 1
3 2640 1
3 755 2
3 22155 1
3 176057 1
3 17770 1
3 50840 1
3 122838 1
3 112575 1
3 75616 1
3 48542 1
3 77513 1
3 51335 1
3 104806 1
3 5485 5
3 12917 3
3 141296 1
3 69757 1
3 104494 1
3 4888 2
3 107402 1
3 192357 1
3 186 7
3 1371 2
3 12324 1
3 43231 1
3 2854 4
3 144315 1
3 5865 1
3 62362 1
3 41767 1
3 1992 1
3 5572 1
3 134 1
3 75011 1
3 36276 1
3 22705 1
3 24880 1
3 131984 1
3 16029 1
3 142030 1
3 18044 1
3 8818 1
3 12087 1
3 131045 1
3 47044 1
3 577 1
3 62834 1
3 3711 1
4 33379 3
4 91919 1
4 162736 1
4 144283 1
4 44937 1
4 152384 1
4 4173 1
4 188539 1
4 150672 3
4 147248 2
4 151927 1
4 160772 1
4 168896 2
4 171653 4
4 45339 1
4 44085 1
4 34520 4
4 45066 1
4 150180 1
4 29315 5
4 29616 2
4 167077 17
4 160771 1
4 142798 1
4 156924 1
4 33401 1
4 152490 1
4 151844 2
